ID,Station_Name,River_Basin,County,Longitude,Latitude,ElevationFeet,Operator,OBJECTID,HR_NAME
ATN,LAKE SAN ANTONIO,SALINAS R,MONTEREY,-120.883,35.798,779,Monterey County,13,Central Coast
CCH,CACHUMA LAKE,SANTA YNEZ R,SANTA BARBARA,-119.98,34.583,781,US Bureau of Reclamation,13,Central Coast
GBL,GIBRALTAR DAM,SANTA YNEZ R,SANTA BARBARA,-119.686,34.526,"1,399",City of Santa Barbara,13,Central Coast
NCM,NACIMIENTO,NACIMIENTO R,SAN LUIS OBISPO,-120.884,35.758,784,Monterey County,13,Central Coast
SLN,SANTA MARGARITA LAKE,SALINAS R,SAN LUIS OBISPO,-120.502,35.333,"1,325",US Army Corps of Engineers,13,Central Coast
TWT,TWITCHELL,SANTA MARIA R,SAN LUIS OBISPO,-120.317,34.983,692,US Bureau of Reclamation,13,Central Coast
WHR,WHALE ROCK,SALINAS R,SAN LUIS OBISPO,-120.883,35.45,233,San Luis Obispo County,13,Central Coast
CLE,TRINITY LAKE,TRINITY R,TRINITY,-122.762,40.801,"2,370",US Bureau of Reclamation,15,North Coast
CLK,CLEAR LK - KLAMATH R,KLAMATH R,MODOC,-121.075,41.927,"4,552",US Bureau of Reclamation,15,North Coast
COY,COYOTE (LAKE MENDOCINO),RUSSIAN R,MENDOCINO,-123.186,39.197,720,US Army Corps of Engineers,15,North Coast
DRE,DWINNELL RESERVOIR NEAR EDGEWOOD,SHASTA R,SISKIYOU,-122.37455,41.540894,"2,805",CA Dept of Water Resources/North Region Office,15,North Coast
DWN,DWINNELL,SHASTA R,SISKIYOU,-122.376,41.541,"2,792",US Bureau of Reclamation,15,North Coast
IRG,IRON GATE RESERVOIR,KLAMATH R,SISKIYOU,-122.436,41.934,"2,328",Pacific Power and Light Company,15,North Coast
LEW,LEWISTON,TRINITY R,TRINITY,-122.793,40.727,"1,870",US Bureau of Reclamation,15,North Coast
LPY,LAKE PILLSBURY NR POTTER VLY 24HR AVG,EEL R,LAKE,-122.9583,39.4083,"1,828",Pacific Gas & Electric,15,North Coast
MNC,LAKE MENDOCINO,RUSSIAN R,MENDOCINO,-123.182,39.199,760,US Army Corps of Engineers,15,North Coast
MPD,MWCD PARKS CK DIVERSION NR EDGEWOOD,SHASTA R,SISKIYOU,-122.447647,41.451805,"3,000",CA Dept of Water Resources/North Region Office,15,North Coast
PLL,LAKE PILLSBURY,EEL R,LAKE,-122.958,39.408,"1,807",Pacific Gas & Electric,15,North Coast
