ID,STATION,ELEV,LATITUDE,LONGITUDE,APRIL_1_AV,OPERATOR_A,BASIN,HR_NAME
CWF,CROWDER FLAT,5100,41.893398,-120.7519,---,Natural Resources Conservation Service,KLAMATH R,North Coast
MB3,MIDDLE BOULDER 3,6200,41.224838,-122.80616,28.3,CA Dept of Water Resources,SCOTT R,North Coast
SCT,SCOTT MOUNTAIN,5900,41.272202,-122.719482,16,CA Dept of Water Resources,SCOTT R,North Coast
PET,PETERSON FLAT,7150,41.302219,-122.527779,29.2,CA Dept of Water Resources,TRINITY R,North Coast
RRM,RED ROCK MOUNTAIN,6700,41.023621,-122.886627,39.6,CA Dept of Water Resources,TRINITY R,North Coast
BNK,BONANZA KING,6450,41.083118,-122.631271,40.5,US Bureau of Reclamation,TRINITY R,North Coast
SHM,SHIMMY LAKE,6400,41.005299,-122.801598,40.3,CA Dept of Water Resources,TRINITY R,North Coast
HIG,HIGHLAND LAKES,6030,41.091782,-122.491562,29.9,CA Dept of Water Resources,TRINITY R,North Coast
MUM,MUMBO BASIN,5650,41.197819,-122.525963,22.4,CA Dept of Water Resources,TRINITY R,North Coast
BFL,BIG FLAT,5100,41.077599,-122.94223,15.8,CA Dept of Water Resources,TRINITY R,North Coast
DSS,DISMAL SWAMP,7050,41.993,-120.165001,29.2,Natural Resources Conservation Service,SURPRISE VALLEY,North Lahontan
IDP,INDEPENDENCE LAKE (SCS),8450,39.435001,-120.321999,41.4,Natural Resources Conservation Service,TRUCKEE R,North Lahontan
SQV,PALISADES TAHOE SNOTEL,8200,39.194,-120.276001,46.5,Natural Resources Conservation Service,TRUCKEE R,North Lahontan
IDC,INDEPENDENCE CAMP,7000,39.452587,-120.298546,21.8,Natural Resources Conservation Service,TRUCKEE R,North Lahontan
INN,INDEPENDENCE CREEK,6500,39.493999,-120.292999,12.7,Natural Resources Conservation Service,TRUCKEE R,North Lahontan
TK2,TRUCKEE 2,6400,39.299999,-120.194,14.3,Natural Resources Conservation Service,TRUCKEE R,North Lahontan
HVN,HEAVENLY VALLEY,8800,38.929001,-119.917,28.1,Natural Resources Conservation Service,LAKE TAHOE,North Lahontan
HGM,HAGANS MEADOW,8000,38.853001,-119.940002,16.5,Natural Resources Conservation Service,LAKE TAHOE,North Lahontan
EP5,ECHO PEAK 5,7800,38.848999,-120.079002,39.5,Natural Resources Conservation Service,LAKE TAHOE,North Lahontan
RP2,RUBICON PEAK 2,7500,39.000999,-120.139999,29.1,Natural Resources Conservation Service,LAKE TAHOE,North Lahontan
TCC,TAHOE CITY CROSS,6750,39.17144,-120.154655,16,Natural Resources Conservation Service,LAKE TAHOE,North Lahontan
WC3,WARD CREEK 3,6750,39.135574,-120.218681,39.4,Natural Resources Conservation Service,LAKE TAHOE,North Lahontan
FLL,FALLEN LEAF LAKE,6250,38.931999,-120.056,7,Natural Resources Conservation Service,LAKE TAHOE,North Lahontan
EBB,EBBETTS PASS,8700,38.561001,-119.807999,38.8,Natural Resources Conservation Service,CARSON R,North Lahontan
HOR,HORSE MEADOW (NRCS),8557,38.836498,-119.887299,---,+,CARSON R,North Lahontan
MNT,MONITOR PASS,8350,38.669998,-119.614998,---,Natural Resources Conservation Service,CARSON R,North Lahontan
BSK,BURNSIDE LAKE,8129,38.719398,-119.894203,---,Natural Resources Conservation Service,CARSON R,North Lahontan
FDC,FORESTDALE CREEK,8017,38.6824,-119.959702,---,+,CARSON R,North Lahontan
PSN,POISON FLAT,7900,38.500999,-119.630997,16.2,Natural Resources Conservation Service,CARSON R,North Lahontan
SPT,SPRATT CREEK,6150,38.666271,-119.817421,4.5,Natural Resources Conservation Service,CARSON R,North Lahontan
LVT,LEAVITT LAKE,9600,38.282001,-119.621002,---,Natural Resources Conservation Service,WALKER R,North Lahontan
SDW,SUMMIT MEADOW,9313,38.397499,-119.535599,---,Natural Resources Conservation Service,WALKER R,North Lahontan
VRG,VIRGINIA LAKES RIDGE,9300,38.077,-119.234001,20.3,Natural Resources Conservation Service,WALKER R,North Lahontan
LBD,LOBDELL LAKE,9200,38.439999,-119.376999,17.3,Natural Resources Conservation Service,WALKER R,North Lahontan
SPS,SONORA PASS BRIDGE,8750,38.318001,-119.600998,26,Natural Resources Conservation Service,WALKER R,North Lahontan
LVM,LEAVITT MEADOWS,7200,38.305,-119.552002,8,Natural Resources Conservation Service,WALKER R,North Lahontan
SDF,SAND FLAT,6750,41.350239,-122.246529,42.4,US Bureau of Reclamation,SACRAMENTO R,Sacramento River
SLT,SLATE CREEK,5700,41.04398,-122.480103,29,US Bureau of Reclamation,SACRAMENTO R,Sacramento River
STM,STOUTS MEADOW,5400,41.16914,-121.939827,36,CA Dept of Water Resources,MC CLOUD R,Sacramento River
CDP,CEDAR PASS,7100,41.583,-120.303001,18.1,Natural Resources Conservation Service,PIT R,Sacramento River
