PLANNEDUSEFORMERUSE,reporting,type,supplytype
Water Supply Domestic,19566,supply,domestic
Water Supply Irrigation - Landscape,1257,supply,system
Water Supply Public,1102,supply,system
Water Supply Industrial,216,supply,system
Water Supply Unknown,73,supply,system
Other  Domestic & Irrigation,14,supply,domestic
Other  Domestic / Irrigation,10,supply,domestic
Other  Domestic and Ag,6,supply,domestic
Other  Domestic/Irrigation,6,supply,domestic
Other  Domestic,4,supply,domestic
Water Supply Domestic Install Sanitary Seal,4,supply,domestic
Other  Domestic and AG,3,supply,domestic
Other  Domestic / Ag,2,supply,domestic
Water Supply Irrigation - Landscape Reconstruction,2,supply,system
Destruction Domestic & IRRIGATION,1,other,
Destruction Domestic New drill & destroy old well,1,other,
Other  Agricultural/Domestic,1,supply,domestic
Other  Agriculture & Domestic,1,supply,domestic
Other  Domestic well,1,supply,domestic
Other  GOLF COURSE IRRIGATION,1,supply,system
Other  Irrigation & Domestic,1,supply,domestic
Water Supply Domestic Added 18 inches  of casing to top of well,1,supply,domestic
Water Supply Domestic Annular material omission,1,supply,domestic
"Water Supply Domestic CLEANED OUT EXISTING 195'FT. WELL FROM TOP TO BOTTOM WITH 5.5\"" BIT  INSTALLED 40'FT. OF 6"" PVC CASING 125PSI F480 AND INSTALLED SEAL FROM 0'FT. TO 23'FT.",1,supply,domestic
Water Supply Domestic Clean Out,1,supply,domestic
Water Supply Domestic Drill & Install Surface Seal,1,supply,domestic
Water Supply Domestic Estimated yield,1,supply,domestic
Water Supply Domestic Fill Pit,1,supply,domestic
Water Supply Domestic Fill bottom to stop artesian,1,supply,domestic
Water Supply Domestic Install Liner & Extend Casing 1' Above Ground Level,1,supply,domestic
Water Supply Domestic Install PVC casing,1,supply,domestic
Water Supply Domestic Installed Sanitary Seal,1,supply,domestic
Water Supply Domestic Lined,1,supply,domestic
Water Supply Domestic Modification-Install Sanitary Seal,1,supply,domestic
Water Supply Domestic New Sanitary Seal,1,supply,domestic
Water Supply Domestic PERFORATED BLANK CASING,1,supply,domestic
Water Supply Domestic Performed wash-over drill and installed sanitary seal.,1,supply,domestic
Water Supply Domestic REPLACEMENT WELL,1,supply,domestic
Water Supply Domestic Replacement new well,1,supply,domestic
Water Supply Domestic Well Cleanout,1,supply,domestic
Water Supply Domestic drilled out old crushed concrete out of top 30 foot of well found pipe and pump. Removed old unit and replaced with new.,1,supply,domestic
"Water Supply Irrigation - Landscape Relined well; well regravel packed, seal betw old and new casing",1,supply,system
Water Supply Irrigation - Landscape Unknown,1,supply,system
Water Supply Irrigation - Landscape not specified,1,supply,system
Water Supply Irrigation - Landscape reinstalled surface pipe,1,supply,system
Water Supply Irrigation - Landscape updated electrical panel and wiring to existing well pump.,1,supply,system
Water Supply Public Bentonite Plug Back; Placed Bentonite from TD to 250' BGS,1,supply,system
Water Supply Public Casing Patch,1,supply,system
Water Supply Public Cement Plug,1,supply,system
Water Supply Public Conversion to Public well,1,supply,system
Water Supply Public Gravel Plug 384' - 331.5'; Neat Cement Plug 331.5' - 325'; Sealing off lower screen section,1,supply,system
Water Supply Public INSTALL NEW SANITARY SEAL,1,supply,system
"Water Supply Public Liner, Seal",1,supply,system
Water Supply Public New well casing,1,supply,system
Water Supply Public Seal Bottom Damaged Screen Section,1,supply,system
Water Supply Public See other observations,1,supply,system
"Water Supply Public add to gravel pack, and place 50' seal between 8\"" casing and 4"" pvc, to adress hole in 8"" at 33'.",1,supply,system
Water Supply Public back filled from 466' - 361',1,supply,system
Water Supply,8,supply,system
Other  Municipal Supply,2,supply,system
Water Supply Public Sealing Lower Section of Well,2,supply,system
Water Supply Public WELL REHABILITATION,2,supply,system
Other  Aqueduct Supply,1,supply,system
Other  Unknown Water Supply,1,supply,system
Other  Water Supply,1,supply,system
Destruction,3078,other,
Vapor Extraction,2285,other,
Sparging,1777,other,
Cathodic Protection,1734,other,
Remediation,1325,other,
Other  Unknown,617,other,
Test Well,390,other,
Destruction Domestic,340,other,
Other  DESTRUCTION,299,other,
Destruction  Geotechnical,201,other,
Destruction Irrigation - Agriculture,190,other,
Destruction  Boring,160,other,
Dewatering,137,other,
Other  HEAT EXCHANGER,110,other,
Other  Destruction,104,other,
Other  Soil Vapor Probe,98,other,
Destruction Unknown,95,other,
Other  Heat Exchange,79,other,
Other  Extraction,77,other,
Other  not specified,76,other,
Other  n/a,72,other,
Other  Geotechnical,71,other,
Destruction Public,61,other,
Other  Abandon,60,other,
Other  unknown,60,other,
Other  Vapor Probe,57,other,
Other  Boring,55,other,
Destruction  Test Well,54,other,
Destruction  Soil Boring,49,other,
Other  Air Sparge,46,other,
Other  Slope Inclinometer,46,other,
Other  VAPOR PROBE,45,other,
Other  N/A,38,other,
Other  Vapor Monitoring,34,other,
Destruction  soil sample,33,other,
Other  WELL DESTRUCTION,33,other,
Other  Soil Vapor,31,other,
Destruction  BORING,30,other,
Other  Soil Vapor Extraction,29,other,
Other  Extraction Well,28,other,
Other  Inclinometer,28,other,
Other  Injection & Remediation,28,other,
Other  soil vapor monitoring,28,other,
Other  Observation,27,other,
Destruction  Geotechnical Boring,26,other,
Other  Exploratory,26,other,
Other  GSHP,26,other,
Other  Soil Vapor Monitoring,25,other,
Destruction Unknown Geotechnical,23,other,
Other  GW Extraction,23,other,
Other  A DEVICE USED TO MEASURE CHANGES IN THE LENGHT OF AN OBJECT.,22,other,
