site,lat,lon,HR_NAME
11119500,34.4013836,-119.4865103,Central Coast
11119530,34.40416149,-119.519012,Central Coast
11119660,34.4499955,-119.6229084,Central Coast
11119700,34.4291634,-119.6773558,Central Coast
11119745,34.44055266,-119.7118027,Central Coast
11119750,34.4275,-119.7252778,Central Coast
11119760,34.41944444,-119.711111,Central Coast
11119780,34.43694215,-119.7465269,Central Coast
11119900,34.43221936,-119.784305,Central Coast
11119940,34.4449965,-119.80375,Central Coast
11120000,34.4247189,-119.811805,Central Coast
11120500,34.45916286,-119.8090283,Central Coast
11120510,34.43027415,-119.822083,Central Coast
11120520,34.4486111,-119.8402778,Central Coast
11120530,34.43471754,-119.8687502,Central Coast
11120550,34.48776644,-120.2270947,Central Coast
11120600,34.513874,-120.484886,Central Coast
11120700,34.6013726,-120.5426667,Central Coast
11120800,34.59665054,-120.579057,Central Coast
11121000,34.4922149,-119.507902,Central Coast
11121010,34.4922149,-119.507902,Central Coast
11121900,34.5241613,-119.68708,Central Coast
11122000,34.52610567,-119.6865245,Central Coast
11122010,34.52416133,-119.6873579,Central Coast
11123000,34.5244391,-119.6873579,Central Coast
11123500,34.54360358,-119.8648627,Central Coast
11124000,34.62776698,-119.8620842,Central Coast
11124500,34.5966563,-119.9087519,Central Coast
11125000,34.60832217,-119.935419,Central Coast
11125600,34.58221109,-119.9826419,Central Coast
11125605,34.58388889,-119.985,Central Coast
11126000,34.5891552,-119.9887532,Central Coast
11126500,34.5949879,-120.0295879,Central Coast
11127000,34.5847103,-120.0384771,Central Coast
11127500,34.5860986,-120.0959795,Central Coast
11128000,34.58498749,-120.1009797,Central Coast
11128250,34.61831975,-120.120703,Central Coast
11128400,34.57637614,-120.1484816,Central Coast
11128500,34.58498706,-120.1445926,Central Coast
11129000,34.59581965,-120.1926503,Central Coast
11129500,34.6069304,-120.1968173,Central Coast
11129800,34.64859614,-120.1843172,Central Coast
11130000,34.61387474,-120.1926505,Central Coast
11130500,34.61054095,-120.2490417,Central Coast
11131000,34.6097072,-120.3065445,Central Coast
11131500,34.61331786,-120.3573804,Central Coast
11132000,34.6333172,-120.39266,Central Coast
11132500,34.5885957,-120.4084938,Central Coast
11133000,34.63609474,-120.424606,Central Coast
11133500,34.6441501,-120.4309953,Central Coast
11133700,34.69276037,-120.431829,Central Coast
11134000,34.6683162,-120.4579411,Central Coast
11134500,34.6683161,-120.4757198,Central Coast
11134800,34.6316501,-120.4648857,Central Coast
11135000,34.67220488,-120.492665,Central Coast
11135200,34.644983,-120.5168326,Central Coast
11135250,34.67661667,-120.5533889,Central Coast
11135500,34.68887119,-120.5857244,Central Coast
11135800,34.74331534,-120.2709888,Central Coast
11136000,34.76248138,-120.4246068,Central Coast
11136040,34.77777778,-120.4316667,Central Coast
11136050,34.7672035,-120.4337739,Central Coast
11136100,34.78220307,-120.530167,Central Coast
11136150,34.81248035,-120.5257226,Central Coast
11136400,34.70887158,-119.2078883,Central Coast
11136480,34.69415014,-119.3181711,Central Coast
11136500,34.68887277,-119.3578952,Central Coast
11136600,34.82081299,-119.5573483,Central Coast
11136650,34.9833102,-119.7759677,Central Coast
11136800,35.0219213,-120.2284868,Central Coast
11137000,35.0116437,-120.2796007,Central Coast
11137400,35.04858759,-120.3023792,Central Coast
11137500,35.0221991,-120.3037684,Central Coast
11137900,35.07775398,-120.3718267,Central Coast
11138000,35.02108805,-120.3226582,Central Coast
11138100,34.9444227,-120.2926568,Central Coast
11138500,34.83970289,-120.1682063,Central Coast
11139000,34.852758,-120.1995967,Central Coast
11139350,34.8160919,-120.2248757,Central Coast
11139500,34.87247964,-120.2445989,Central Coast
11140000,34.89386807,-120.3065463,Central Coast
11140585,34.96831117,-120.404051,Central Coast
11140600,34.96664454,-120.4176628,Central Coast
11140800,34.97886655,-120.4526644,Central Coast
11141000,34.9763661,-120.5718364,Central Coast
11141050,34.88359037,-120.4948883,Central Coast
11141150,35.18858618,-120.4351621,Central Coast
11141160,35.2171971,-120.4557184,Central Coast
11141280,35.23553035,-120.4723857,Central Coast
11141300,35.1860866,-120.4996096,Central Coast
11141400,35.1321981,-120.5426675,Central Coast
11141500,35.1244203,-120.5690576,Central Coast
11141600,35.08803198,-120.5098887,Central Coast
11142080,35.37830739,-120.8543459,Central Coast
11142100,35.42525134,-120.8601794,Central Coast
11142200,35.5763603,-120.9982426,Central Coast
11142240,35.5652492,-121.0679684,Central Coast
11142300,35.59969297,-121.1140822,Central Coast
11142500,35.7171903,-121.2849258,Central Coast
11142550,35.75691177,-121.3002047,Central Coast
11142800,36.09218444,-121.6185558,Central Coast
11143000,36.24579648,-121.7732872,Central Coast
11143010,36.28666667,-121.8494444,Central Coast
11143200,36.47440615,-121.7288364,Central Coast
11143250,36.5391278,-121.8805084,Central Coast
11143300,36.59384897,-121.8377294,Central Coast
11143500,35.29858465,-120.4037709,Central Coast
11144000,35.32386227,-120.4212715,Central Coast
11144200,35.29275175,-120.4529399,Central Coast
11144600,35.33525155,-120.5037751,Central Coast
11145000,35.3488625,-120.5126643,Central Coast
11145500,35.4088619,-120.5676661,Central Coast
11147000,35.56663815,-120.8037877,Central Coast
11147040,35.53413878,-120.847401,Central Coast
11147070,35.5238612,-120.7660077,Central Coast
11147500,35.6285813,-120.6843373,Central Coast
11147600,35.58413745,-120.5548865,Central Coast
11147700,35.7527434,-120.2648693,Central Coast
11147800,35.68885664,-120.3351522,Central Coast
11148000,35.6527477,-120.5079392,Central Coast
11148500,35.71719096,-120.6401683,Central Coast
11148800,35.8016346,-121.114917,Central Coast
11148900,35.78857918,-121.0938048,Central Coast
